step,train_loss,test_loss,train_accuracy,test_accuracy,weight_norm,last_layer_norm,time
0.0,1.3886887126286824,1.3858314392089843,0.0718500018119812,0.0706000030040741,14.142143176444186,9.999999618530266,2.608966112136841
1.0,0.9841662781397502,0.983486457824707,0.15136666595935822,0.15520000457763672,14.14383326433042,9.999732967626091,2.5780999660491943
2.0,0.9678693078994751,0.9660305183410645,0.16093333065509796,0.1647000014781952,14.147856188016505,9.999629204551319,2.5735700130462646
3.0,0.9384679866154989,0.9341624229431152,0.18793334066867828,0.19280000030994415,14.153102230054547,9.999463639180307,2.5795319080352783
4.0,0.9028565768559774,0.8964891216278076,0.22679999470710754,0.2328999936580658,14.158523612776676,9.999108847011067,2.5751280784606934
5.0,0.924842014948527,0.9194003723144532,0.234416663646698,0.24130000174045563,14.164007558153232,9.998644546198774,2.5954301357269287
6.0,0.908970334370931,0.9043449768066406,0.25493332743644714,0.25949999690055847,14.169241158916424,9.998167633024885,2.552663803100586
7.0,0.8628641696294149,0.8591615489959716,0.2816833257675171,0.2838999927043915,14.174505122189782,9.997757469500113,2.5643911361694336
8.0,0.8393898059844971,0.8360608200073242,0.29463332891464233,0.2969000041484833,14.179785962984585,9.997361407262511,2.568455934524536
9.0,0.8381979811668396,0.8358810512542725,0.30300000309944153,0.3052000105381012,14.18442801267908,9.996731414670036,2.566617965698242
10.0,0.847689595413208,0.84479118309021,0.3068833351135254,0.3084000051021576,14.188922289838306,9.995969723121734,2.607503890991211
11.0,0.8453577054977417,0.843519144821167,0.3307333290576935,0.32910001277923584,14.193319463142247,9.995243848809691,2.570115089416504
12.0,0.8470508190790812,0.8455021312713623,0.34290000796318054,0.34049999713897705,14.197598665314079,9.994515250026277,2.550107002258301
13.0,0.848186350440979,0.8459881191253662,0.3494499921798706,0.34779998660087585,14.201591316569125,9.993679719621742,2.5765249729156494
14.0,0.8356207605361938,0.8319902660369873,0.3645666539669037,0.3668999969959259,14.20535136651991,9.992944135494664,2.586970090866089
15.0,0.8298220060348511,0.8251528060913086,0.3786333203315735,0.3822000026702881,14.208855374199636,9.992087858059676,2.572938919067383
16.0,0.8198106248855591,0.8147909591674805,0.3926166594028473,0.39629998803138733,14.212421861901793,9.991289923158735,2.5613930225372314
17.0,0.8031436024983724,0.7982643236160278,0.40720000863075256,0.4097999930381775,14.215970817849385,9.990527816743663,2.5847649574279785
18.0,0.7816105096817016,0.7773926795959473,0.42508333921432495,0.42559999227523804,14.219442698614447,9.989753050782838,2.5799999237060547
19.0,0.7706616196632385,0.7670042249679565,0.4336499869823456,0.4359999895095825,14.222840779151737,9.988981661744699,2.580259084701538
20.0,0.7596791680971782,0.7540214031219482,0.44415000081062317,0.45399999618530273,14.225657770003389,9.98792682447046,2.5983591079711914
21.0,0.7527400968551635,0.745193445777893,0.450300008058548,0.4587000012397766,14.228324600853947,9.986905107219426,2.555696964263916
22.0,0.7435600383122762,0.7355214267730713,0.4534166753292084,0.462799996137619,14.230955548563678,9.98587640926588,2.544862985610962
23.0,0.7234438734054566,0.7157665040969848,0.46328333020210266,0.47130000591278076,14.233555993178145,9.984870910268523,2.552747964859009
24.0,0.7122634205818176,0.7036818019866944,0.4678666591644287,0.4781000018119812,14.235987148003646,9.983855757845113,2.557152032852173
25.0,0.6951525195439656,0.6868263935089112,0.4795333445072174,0.4887999892234802,14.23854327176601,9.982993351194821,2.556774139404297
26.0,0.6949736731529236,0.6860553483963012,0.49004998803138733,0.5001000165939331,14.241171795926547,9.982231757813441,2.5658459663391113
27.0,0.6872131253878275,0.6787426870346069,0.4976166784763336,0.5062999725341797,14.243114213199105,9.981229713529205,2.555483818054199
28.0,0.6614944302558899,0.6542195407867432,0.504716694355011,0.5099999904632568,14.244738761994231,9.980119780469547,2.5453460216522217
29.0,0.6455053810755412,0.6397441932678223,0.5117499828338623,0.5166000127792358,14.246235668164788,9.978942826109277,2.5497639179229736
30.0,0.6300016277313233,0.6243240089416504,0.5286499857902527,0.5349000096321106,14.247841654836323,9.977825756944119,2.5787062644958496
40.0,0.5921714797973633,0.5904821657180787,0.5614333152770996,0.5637999773025513,14.26459973297506,9.968367709778933,2.562241792678833
50.0,0.5884907485644023,0.587151986694336,0.558733344078064,0.5669000148773193,14.277049843076114,9.960090343877566,2.54897403717041
